ID,Type,SKU,Name,Published,Is featured?,Short description,Description,In stock?,Stock,Low stock amount,Sale price,Regular price,Categories,Tags,Images,Brands,Meta: _headstart_post,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: post_views_count
4716,variable,,Smart Charger Plus,1,0,,High-quality smart charger plus designed for optimal performance and durability.,1,45,18,,405.11,Sweater > Hoodie,,https://images.pexels.com/photos/1350789/pexels-photo-1350789.jpeg,JBL,1,Size,"XL, 24"", L, XXL",1,0,Material,"Leather, Rubber, Metal",1,0,900
4717,simple,SKU70863,Sports Yoga Mat Premium,1,0,,High-quality sports yoga mat premium designed for optimal performance and durability.,1,86,10,,762.29,Sports & Fitness,,https://images.unsplash.com/photo-1542291026-7eec264c27ff,Wilson,1,,,,,,,,,928
4718,simple,SKU32938,Training Shoes Pro,1,0,,High-quality training shoes pro designed for optimal performance and durability.,1,31,17,474.47,722.31,Sports & Fitness,,https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,Yamaha,1,,,,,,,,,633
4719,simple,,Wireless Speaker Pro,1,1,,High-quality wireless speaker pro designed for optimal performance and durability.,1,,10,851.19,1079.69,Books,"Eco-Friendly, Professional, 7.1 D",https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,KitchenAid,1,,,,,,,,,311
4720,variable,SKU64629,Wireless Smartwatch Pro,1,0,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,183,20,,1926.67,Accessories,"Vintage, USB, 7.1 D",https://picsum.photos/700/700,ACEX,1,Material,"Metal, Silk",1,1,,,,,582
4721,simple,,Wireless Tablet Pro,1,0,,High-quality wireless tablet pro designed for optimal performance and durability.,1,30,9,1364.18,1627.69,Accessories,"Premium, Eco-Friendly",https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,Yamaha,1,Color,"Blue, Green, Purple",1,0,,,,,169
4722,simple,SKU60848,Premium Charger System,1,1,,High-quality premium charger system designed for optimal performance and durability.,1,48,19,83.99,130.6,Toys & Games,,https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Samsung,1,Color,"Blue, Brown",1,1,User Group,"Kids, Adult, Boys & Girls",1,0,486
4723,simple,SKU86965,Classic Dress Style,1,0,,High-quality classic dress style designed for optimal performance and durability.,1,174,20,1160.12,1566.73,Clothing,"Premium, USB",https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Casio,1,Capacity,"500ml, 330 ml",1,1,Size,"26"", 16""",1,1,530
4724,external,SKU86281,Portable Camera Max,1,1,,High-quality portable camera max designed for optimal performance and durability.,1,61,9,789.28,1038.39,Books,Bluetooth,https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,BambooTech,1,Size,"28"", 24""",1,1,User Group,"Unisex, Men",1,0,466
4725,variable,SKU92233,Portable Tablet Max,1,1,,High-quality portable tablet max designed for optimal performance and durability.,1,81,14,,1711.98,Accessories,"USB, Stereo",https://images.unsplash.com/photo-1572635196237-14b3f281503f,Adidas,1,Material,"Ceramic, Glass",1,1,,,,,182
4726,simple,,Chef's Jug,1,1,,High-quality chef's jug designed for optimal performance and durability.,1,117,14,818.72,1307.94,Kitchen,Eco-Friendly,https://via.placeholder.com/700x700/008000/FFFFFF?text=New+Arrival,FlexiMat,1,Capacity,"1.5L, 500ml, 2L",1,1,,,,,552
4727,simple,SKU19710,Smart Smartwatch Plus,1,0,,High-quality smart smartwatch plus designed for optimal performance and durability.,1,30,11,553.52,710.43,Office Supplies,"Stereo, Bluetooth",https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Boutique,1,Size,"S, 26"", 12""",1,0,,,,,104
4728,variable,SKU16978,Casual Jacket,1,0,,High-quality casual jacket designed for optimal performance and durability.,1,137,13,,376.03,Clothing,Stereo,https://images.unsplash.com/photo-1585386959984-a4155224a1ad,LG,1,User Group,"Men, Unisex, Kids, Women",1,1,,,,,475
4729,variable,SKU49013,Modern Hoodie,1,0,,High-quality modern hoodie designed for optimal performance and durability.,1,59,5,123.31,141.71,Clothing,"Bluetooth, Eco-Friendly, Professional",https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,Brothers,1,Size,"M, XL, 26"", XXL, L",1,0,,,,,632
4730,simple,SKU44152,Wireless Charger Pro,1,1,,High-quality wireless charger pro designed for optimal performance and durability.,1,178,10,1312.9,1837.46,Books,USB,https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Brothers,1,,,,,,,,,685
4731,simple,SKU97666,Wireless Speaker Pro,1,1,,High-quality wireless speaker pro designed for optimal performance and durability.,1,186,20,1199.94,1681.76,Pet Supplies,,https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,HydroFlask,1,Size,"16"", 24"", XXXL",1,0,Material,"Plastic, Ceramic, Metal, Rubber",1,1,374
4732,simple,SKU85265,Wireless Charger Pro,1,0,,High-quality wireless charger pro designed for optimal performance and durability.,1,165,19,,104.04,Accessories,"Bluetooth, Luxury",https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,FlexiMat,1,,,,,,,,,985
4733,simple,SKU67404,Premium Speaker System,1,1,,High-quality premium speaker system designed for optimal performance and durability.,1,162,5,1216.71,1889.54,Office Supplies,,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,LG,1,Capacity,"1L, 330 ml, 500ml",1,1,User Group,"Adult, Men, Women",1,0,996
4734,simple,SKU70510,Wireless Headphones,1,0,,High-quality wireless headphones designed for optimal performance and durability.,1,128,7,,287.14,Headphone,Modern,https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,SoundSphere,1,User Group,"Unisex, Boys & Girls, Men, Women, Kids",1,1,,,,,301
4735,simple,SKU65444,Professional Tracker Gear,1,0,,High-quality professional tracker gear designed for optimal performance and durability.,1,163,17,814.92,1274.73,Sports & Fitness,"Bluetooth, Vintage",https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,BambooTech,1,Material,"Rubber, Cotton",1,1,User Group,"Adult, Boys & Girls, Men",1,1,148
4736,external,SKU61376,Smart Headphones Plus,1,0,,High-quality smart headphones plus designed for optimal performance and durability.,1,173,8,622.77,926.42,Office Supplies,Bass,https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,Nike,1,User Group,"Adult, Unisex, Women, Men",1,0,Material,"Ceramic, Leather",1,1,119
4737,simple,,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,99,18,1327.93,1805.36,Sweater > Hoodie,,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,Boutique,1,Capacity,"1L, 330 ml, 2L",1,1,Material,"Metal, Wood, Glass",1,0,392
4738,external,SKU17538,Premium Charger System,1,1,,High-quality premium charger system designed for optimal performance and durability.,1,161,5,1380.36,1621.79,Toys & Games,"Stereo, USB, Bass",https://images.unsplash.com/photo-1542291026-7eec264c27ff,Dyson,1,User Group,"Women, Unisex, Kids, Adult, Men",1,0,Color,"Black, Blue",1,0,99
4739,simple,SKU31243,Premium Headphones System,1,0,,High-quality premium headphones system designed for optimal performance and durability.,1,3,8,,763.13,Toys & Games,,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,Philips,1,Material,"Plastic, Ceramic, Cotton, Rubber",1,0,Size,"L, XXXL, XL",1,1,478
4740,grouped,SKU93515,Classic Pants Style,1,1,,High-quality classic pants style designed for optimal performance and durability.,1,164,18,1166.05,1318.58,Clothing,Bluetooth,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Yamaha,1,,,,,,,,,756
4741,simple,SKU55378,Premium Sweater Collection,1,0,,High-quality premium sweater collection designed for optimal performance and durability.,1,87,20,1147.64,1666.86,Clothing,Bluetooth,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,FlexiMat,1,Color,"White, Purple, Green",1,0,Size,"XL, XXL, 12"", S",1,0,844
4742,simple,,Digital Speaker HD,1,1,,High-quality digital speaker hd designed for optimal performance and durability.,1,98,14,364.36,509.03,Accessories,Stereo,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Adidas,1,Material,"Ceramic, Rubber, Metal, Glass, Cotton",1,1,,,,,909
4743,simple,SKU70269,Classic Vase Design,1,1,,High-quality classic vase design designed for optimal performance and durability.,1,80,12,820.62,990.97,Home & Garden,,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Dell,1,Size,"L, XL",1,1,User Group,"Men, Women",1,1,131
4744,simple,SKU84430,Digital Speaker HD,1,1,,High-quality digital speaker hd designed for optimal performance and durability.,1,63,15,966.18,1412.62,Automotive,Modern,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Yamaha,1,,,,,,,,,320
4745,simple,SKU89685,Smart Camera Plus,1,0,,High-quality smart camera plus designed for optimal performance and durability.,1,132,14,,1520.18,Books,"Modern, 7.1 D, Professional",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,FitTech,1,,,,,,,,,840
4746,simple,SKU90266,Classic Pants Style,1,0,,High-quality classic pants style designed for optimal performance and durability.,1,16,19,,1847.56,Clothing,,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,BambooTech,1,Color,"Gray, Yellow, White, Green",1,1,,,,,944
4747,variable,,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,71,6,770.53,868.54,Health & Beauty,"7.1 D, Stereo",https://picsum.photos/800/800,Sony,1,Size,"XXXL, M",1,1,,,,,976
4748,simple,SKU55833,Designer Pants,1,0,,High-quality designer pants designed for optimal performance and durability.,1,177,16,918.36,1330.29,Clothing,"Luxury, Wireless, Hi-Fi",https://picsum.photos/600/600,JBL,1,Material,"Cotton, Metal, Rubber",1,0,User Group,"Boys & Girls, Adult",1,1,827
4749,simple,SKU45082,Vintage Style Chair,1,0,,High-quality vintage style chair designed for optimal performance and durability.,1,142,19,170.25,232.94,Rocking Chair,,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Yamaha,1,,,,,,,,,269
4750,simple,SKU89733,Portable Charger Max,1,0,,High-quality portable charger max designed for optimal performance and durability.,1,127,17,436.48,563.05,Books,Luxury,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,BambooTech,1,Material,"Silk, Glass, Ceramic",1,1,Capacity,"1L, 330 ml, 500ml",1,0,366
4751,simple,,Portable Speaker Max,1,1,,High-quality portable speaker max designed for optimal performance and durability.,1,138,12,126.24,180.23,Electronics,,https://images.unsplash.com/photo-1584917865442-de89df76afd3,Hatil,1,Capacity,"330 ml, 2L, 1L",1,0,Color,"Black, Red, Gray, Blue",1,1,617
4752,simple,SKU52714,Modern Rocking Chair,1,0,,High-quality modern rocking chair designed for optimal performance and durability.,1,26,17,104.79,162.22,Rocking Chair,Stereo,https://images.unsplash.com/photo-1553456558-aff63285bdd1,SoundMax,1,Size,"16"", XXL, 26""",1,0,,,,,68
4753,simple,SKU81446,Training Gloves Pro,1,0,,High-quality training gloves pro designed for optimal performance and durability.,1,45,17,419.02,471.33,Sports & Fitness,"Hi-Fi, Eco-Friendly, Bass",https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Casio,1,,,,,,,,,280
4754,simple,SKU99741,Premium Speaker System,1,1,,High-quality premium speaker system designed for optimal performance and durability.,1,184,13,523.04,750.42,Electronics,"Bluetooth, 7.1 D",https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,Philips,1,Material,"Cotton, Rubber, Glass, Metal",1,0,,,,,786
4755,variable,SKU57082,Casual Shirt,1,0,,High-quality casual shirt designed for optimal performance and durability.,1,93,12,1636.38,1967.85,Clothing,"Modern, Luxury, Eco-Friendly",https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg,Dyson,1,Color,"Brown, White, Pink, Gray, Green",1,1,Capacity,"1L, 330 ml, 500ml, 2L",1,1,295
4756,simple,SKU37478,Wireless Camera Pro,1,0,,High-quality wireless camera pro designed for optimal performance and durability.,1,179,8,72.44,110.47,Books,"Stereo, Hi-Fi",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Dyson,1,Capacity,"1.5L, 2L",1,0,User Group,"Adult, Unisex, Kids, Men",1,0,293
4757,variable,SKU96664,Portable Smartwatch Max,1,1,,High-quality portable smartwatch max designed for optimal performance and durability.,1,6,15,,614.95,Accessories,"Hi-Fi, Modern",https://images.pexels.com/photos/4482900/pexels-photo-4482900.jpeg,FlexiMat,1,,,,,,,,,70
4758,variable,SKU35629,Premium Tablet System,1,0,,High-quality premium tablet system designed for optimal performance and durability.,1,104,6,860.04,1165.97,Toys & Games,"Luxury, USB, Bluetooth",https://images.pexels.com/photos/19090/pexels-photo.jpg,Apple,1,Capacity,"1.5L, 330 ml, 500ml, 1L, 2L",1,0,,,,,346
4759,simple,,Casual Hoodie,1,0,,High-quality casual hoodie designed for optimal performance and durability.,1,157,8,1159.53,1546.51,Clothing,Eco-Friendly,https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,GreenThumb,1,Color,"Pink, Blue, Gray, Green, Black",1,1,Size,"S, 12"", XL, 24""",1,1,850
4760,simple,SKU74347,Wireless Headphones Pro,1,0,,High-quality wireless headphones pro designed for optimal performance and durability.,1,156,14,1220.16,1469.59,Accessories,"Bluetooth, Professional",https://images.unsplash.com/photo-1542291026-7eec264c27ff,HP,1,,,,,,,,,20
4761,simple,SKU23992,Stainless Steel Knife,1,1,,High-quality stainless steel knife designed for optimal performance and durability.,1,167,13,405.21,490.28,Kitchen,Wireless,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Samsung,1,,,,,,,,,825
4762,simple,SKU87989,Professional Mixer Set,1,0,,High-quality professional mixer set designed for optimal performance and durability.,1,57,13,1077.59,1434.25,Kitchen,Hi-Fi,https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,Adidas,1,,,,,,,,,644
4763,simple,SKU38046,Portable Speaker Max,1,0,,High-quality portable speaker max designed for optimal performance and durability.,1,139,19,,708.8,Office Supplies,Professional,https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,Boutique,1,,,,,,,,,815
4764,simple,SKU23981,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,,14,151.08,177.41,Sweater > Hoodie,"Luxury, Hi-Fi, Vintage",https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Spalding,1,,,,,,,,,348
4765,simple,SKU70694,Wireless Smartwatch Pro,1,1,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,178,10,1603.79,1856.24,Books,"Bass, 7.1 D",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,JBL,1,User Group,"Adult, Kids, Men, Women",1,1,Color,"Brown, White, Green, Black",1,1,416
4766,variable,SKU48958,Smart Smartwatch Plus,1,0,,High-quality smart smartwatch plus designed for optimal performance and durability.,1,103,5,,881.07,Electronics,"Vintage, Professional, Bass",https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,Dyson,1,,,,,,,,,128
4767,simple,,Digital Camera HD,1,0,,High-quality digital camera hd designed for optimal performance and durability.,1,41,7,416.29,566.46,Health & Beauty,,https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,Boutique,1,Material,"Leather, Rubber, Wood, Glass",1,1,,,,,518
4768,simple,SKU95451,Stainless Steel Pan,1,0,,High-quality stainless steel pan designed for optimal performance and durability.,1,177,14,990.83,1141.93,Kitchen,"Stereo, USB, 7.1 D",https://via.placeholder.com/800x800/FF0000/FFFFFF?text=Product+Image,SoundSphere,1,Size,"XL, 16"", XXL",1,1,Capacity,"1L, 1.5L, 500ml, 2L",1,0,267
4769,variable,SKU69455,Digital Tablet HD,1,1,,High-quality digital tablet hd designed for optimal performance and durability.,1,65,6,,615.68,Accessories,Hi-Fi,https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,LG,1,,,,,,,,,490
4770,simple,SKU45432,19-Speed Bike,1,1,,High-quality 19-speed bike designed for optimal performance and durability.,1,194,20,522.85,782.12,Bicycle,"Stereo, Hi-Fi, Professional",https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,SoundSphere,1,,,,,,,,,589
4771,simple,SKU16042,Portable Charger Max,1,0,,High-quality portable charger max designed for optimal performance and durability.,1,115,11,,995.34,Pet Supplies,"7.1 D, Bluetooth, Stereo",https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,Apple,1,,,,,,,,,617
4772,grouped,SKU23469,Digital Tablet HD,1,0,,High-quality digital tablet hd designed for optimal performance and durability.,1,187,13,1007.49,1465.19,Accessories,"Modern, Professional",https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,Canon,1,Color,"Red, Blue, Brown, Green",1,0,User Group,"Boys & Girls, Women, Adult, Men",1,1,837
4773,variable,SKU34589,Portable Smartwatch Max,1,0,,High-quality portable smartwatch max designed for optimal performance and durability.,1,104,10,,888.0,Toys & Games,Hi-Fi,https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,Nikon,1,Capacity,"1L, 330 ml, 1.5L, 500ml",1,0,Material,"Plastic, Silk, Leather",1,1,136
4774,simple,,Smart Tablet Plus,1,1,,High-quality smart tablet plus designed for optimal performance and durability.,1,178,6,,517.37,Pet Supplies,"Professional, 7.1 D, Bluetooth",https://images.unsplash.com/photo-1572635196237-14b3f281503f,Casio,1,Capacity,"330 ml, 2L, 500ml, 1L",1,1,User Group,"Women, Unisex",1,0,260
4775,variable,SKU31614,Luxury Table Set,1,0,,High-quality luxury table set designed for optimal performance and durability.,1,83,7,730.85,880.39,Home & Garden,"Stereo, Bluetooth",https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,Brothers,1,User Group,"Boys & Girls, Women, Unisex, Kids",1,0,Capacity,"1L, 2L",1,1,423
4776,simple,SKU82847,Digital Tablet HD,1,0,,High-quality digital tablet hd designed for optimal performance and durability.,1,115,12,,1807.24,Pet Supplies,"Bluetooth, Stereo",https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Nike,1,Size,"XXL, XXXL, 26"", S, M",1,1,Capacity,"1.5L, 1L, 500ml, 2L",1,1,111
4777,simple,SKU86166,Hi-Fi Headphones,1,0,,High-quality hi-fi headphones designed for optimal performance and durability.,1,69,12,,1566.35,Headphone,"Stereo, Professional, USB",https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Philips,1,Capacity,"2L, 1.5L",1,0,User Group,"Adult, Boys & Girls",1,1,410
4778,simple,SKU20909,7-Speed Bike,1,0,,High-quality 7-speed bike designed for optimal performance and durability.,1,149,19,,277.16,Bicycle,,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Adidas,1,Color,"Green, Gray",1,1,User Group,"Men, Women, Boys & Girls",1,1,341
4779,grouped,SKU19749,Luxury Mirror Set,1,0,,High-quality luxury mirror set designed for optimal performance and durability.,1,61,13,606.93,812.67,Home & Garden,"Eco-Friendly, 7.1 D, Stereo",https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,JBL,1,Material,"Silk, Plastic, Cotton",1,0,,,,,939
4780,simple,SKU88026,Digital Speaker HD,1,1,,High-quality digital speaker hd designed for optimal performance and durability.,1,126,5,,1203.99,Pet Supplies,"Modern, Premium, Hi-Fi",https://images.unsplash.com/photo-1585386959984-a4155224a1ad,Dyson,1,Capacity,"1.5L, 330 ml",1,1,,,,,332
4781,simple,,Digital Smartwatch HD,1,0,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,143,14,1153.94,1780.79,Accessories,"Modern, Eco-Friendly, Vintage",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Dell,1,Size,"S, 16""",1,1,Color,"Green, Gray, Red",1,1,743
4782,simple,SKU94262,13-Speed Bike,1,1,,High-quality 13-speed bike designed for optimal performance and durability.,1,137,8,1565.1,1886.53,Bicycle,"USB, Bluetooth",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Adidas,1,,,,,,,,,563
4783,simple,SKU45999,Digital Camera HD,1,0,,High-quality digital camera hd designed for optimal performance and durability.,1,31,12,149.68,249.17,Office Supplies,Luxury,https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,Bose,1,Color,"White, Red, Green",1,0,,,,,745
4784,simple,SKU69736,Digital Speaker HD,1,1,,High-quality digital speaker hd designed for optimal performance and durability.,1,132,6,1021.44,1218.73,Health & Beauty,,https://images.unsplash.com/photo-1584917865442-de89df76afd3,HP,1,Size,"26"", XL, 24""",1,1,,,,,114
4785,variable,SKU33301,Wireless Speaker Pro,1,0,,High-quality wireless speaker pro designed for optimal performance and durability.,1,136,17,1445.01,1874.31,Books,"Hi-Fi, Professional, Vintage",https://images.pexels.com/photos/1350789/pexels-photo-1350789.jpeg,KeyTech,1,User Group,"Adult, Unisex",1,0,Size,"XXXL, XXL, XL, 28""",1,1,686
4786,simple,SKU85937,Classic Sweater Style,1,1,,High-quality classic sweater style designed for optimal performance and durability.,1,48,9,478.6,718.36,Clothing,"7.1 D, Hi-Fi",https://images.pexels.com/photos/1232459/pexels-photo-1232459.jpeg,KeyTech,1,Material,"Rubber, Silk, Ceramic, Plastic",1,0,Color,"Purple, Blue, Yellow, White",1,0,158
4787,variable,SKU96360,Wireless Camera Pro,1,0,,High-quality wireless camera pro designed for optimal performance and durability.,1,94,5,1163.65,1756.03,Health & Beauty,Bass,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Spalding,1,Capacity,"1L, 500ml, 2L, 1.5L, 330 ml",1,1,Material,"Silk, Glass, Cotton",1,0,59
4788,grouped,SKU92081,Professional Yoga Mat Gear,1,0,,High-quality professional yoga mat gear designed for optimal performance and durability.,1,161,8,1301.07,1796.63,Sports & Fitness,"Modern, Hi-Fi, Vintage",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Yamaha,1,User Group,"Unisex, Boys & Girls, Adult, Men",1,1,Capacity,"1L, 1.5L",1,1,424
4789,simple,SKU57107,9-Speed Bike,1,1,,High-quality 9-speed bike designed for optimal performance and durability.,1,79,7,733.16,826.76,Bicycle,,https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,BrightLife,1,User Group,"Kids, Men, Women, Adult",1,0,,,,,272
4790,simple,SKU58962,Smart Camera Plus,1,1,,High-quality smart camera plus designed for optimal performance and durability.,1,56,12,1447.68,1998.26,Accessories,Bluetooth,https://images.unsplash.com/photo-1553456558-aff63285bdd1,Wilson,1,Size,"28"", XXXL, L",1,1,Color,"Red, Black",1,0,545
4791,simple,SKU45557,Wireless Smartwatch Pro,1,1,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,79,11,,1980.49,Office Supplies,Eco-Friendly,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,Dell,1,,,,,,,,,426
4792,simple,,Wireless Charger Pro,1,0,,High-quality wireless charger pro designed for optimal performance and durability.,1,52,16,,900.97,Books,"Modern, Vintage",https://images.unsplash.com/photo-1542291026-7eec264c27ff,Nikon,1,Material,"Cotton, Silk",1,1,,,,,298
4793,simple,SKU45615,Premium Charger System,1,0,,High-quality premium charger system designed for optimal performance and durability.,1,117,15,616.89,763.32,Automotive,Wireless,https://images.unsplash.com/photo-1542291026-7eec264c27ff,Dell,1,,,,,,,,,939
4794,simple,SKU52054,Smart Camera Plus,1,0,,High-quality smart camera plus designed for optimal performance and durability.,1,59,6,1089.27,1264.7,Health & Beauty,"Professional, Stereo",https://images.pexels.com/photos/4482900/pexels-photo-4482900.jpeg,Yamaha,1,User Group,"Unisex, Boys & Girls, Men",1,1,Size,"26"", S",1,1,329
4795,simple,SKU27260,Portable Speaker Max,1,0,,High-quality portable speaker max designed for optimal performance and durability.,1,96,18,,1995.36,Sweater > Hoodie,"Stereo, Luxury, Professional",https://images.unsplash.com/photo-1553456558-aff63285bdd1,KeyTech,1,Color,"Black, Yellow, White, Purple, Brown",1,0,,,,,929
4796,simple,SKU63611,Vintage Style Chair,1,1,,High-quality vintage style chair designed for optimal performance and durability.,1,186,12,518.12,603.17,Rocking Chair,"Vintage, Modern",https://images.unsplash.com/photo-1553456558-aff63285bdd1,Nike,1,Material,"Wood, Metal, Cotton, Glass",1,0,User Group,"Kids, Men, Adult, Unisex",1,1,289
4797,simple,SKU25793,Digital Smartwatch HD,1,0,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,200,11,854.49,1246.95,Books,,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,Sony,1,Size,"XL, L, XXXL, 28"", M",1,0,Capacity,"2L, 500ml",1,0,110
4798,simple,SKU22971,Designer Hoodie,1,1,,High-quality designer hoodie designed for optimal performance and durability.,1,133,7,,408.97,Clothing,Bluetooth,https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,Spalding,1,Size,"16"", 26"", 28""",1,1,,,,,927
4799,external,SKU68944,Noise Cancelling Headphones,1,1,,High-quality noise cancelling headphones designed for optimal performance and durability.,1,22,13,853.24,1019.43,Headphone,"Bass, Wireless, Premium",https://via.placeholder.com/800x800/FF0000/FFFFFF?text=Product+Image,Brothers,1,Size,"24"", 12"", XXXL, 16""",1,1,User Group,"Men, Unisex, Boys & Girls, Women",1,0,422
4800,variable,SKU23718,Premium Smartwatch System,1,1,,High-quality premium smartwatch system designed for optimal performance and durability.,1,113,12,436.74,637.2,Sweater > Hoodie,"Modern, Eco-Friendly, Luxury",https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,KitchenAid,1,Material,"Plastic, Wood, Ceramic",1,1,,,,,910
4801,simple,SKU20896,Digital Speaker HD,1,1,,High-quality digital speaker hd designed for optimal performance and durability.,1,166,10,,1645.65,Accessories,"Stereo, Vintage",https://picsum.photos/700/700,Bose,1,Size,"XL, 28"", XXXL",1,1,Color,"Green, Blue, Red, Brown",1,1,383
4802,simple,SKU47624,Smart Tablet Plus,1,1,,High-quality smart tablet plus designed for optimal performance and durability.,1,10,14,,902.8,Accessories,Hi-Fi,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,Boutique,1,Capacity,"1L, 330 ml, 1.5L, 2L, 500ml",1,0,,,,,38
4803,simple,SKU28950,Premium Speaker System,1,1,,High-quality premium speaker system designed for optimal performance and durability.,1,25,10,580.15,866.7,Electronics,Hi-Fi,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,FlexiMat,1,,,,,,,,,891
4804,variable,SKU93329,Smart Headphones Plus,1,0,,High-quality smart headphones plus designed for optimal performance and durability.,1,115,10,1339.8,1525.58,Toys & Games,Hi-Fi,https://images.unsplash.com/photo-1585386959984-a4155224a1ad,Samsung,1,,,,,,,,,468
4805,grouped,SKU11253,Smart Tablet Plus,1,0,,High-quality smart tablet plus designed for optimal performance and durability.,1,50,10,687.3,1091.18,Accessories,Wireless,https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,SoundMax,1,,,,,,,,,981
4806,simple,SKU99355,Smart Smartwatch Plus,1,1,,High-quality smart smartwatch plus designed for optimal performance and durability.,1,4,14,,467.47,Sweater > Hoodie,"USB, Vintage, Premium",https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Yamaha,1,Size,"XL, XXXL, S, 16"", XXL",1,0,Material,"Silk, Metal, Leather, Wood",1,1,476
4807,simple,SKU15800,Portable Speaker Max,1,0,,High-quality portable speaker max designed for optimal performance and durability.,1,61,11,,282.5,Electronics,"Eco-Friendly, Premium",https://via.placeholder.com/700x700/008000/FFFFFF?text=New+Arrival,Boutique,1,,,,,,,,,632
4808,simple,SKU83967,Professional Shoes Gear,1,1,,High-quality professional shoes gear designed for optimal performance and durability.,1,128,8,329.02,376.16,Sports & Fitness,Vintage,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Nikon,1,Size,"L, 28"", 26""",1,0,,,,,337
